name,link,upvotes,author,time,comment
"Archive of Byte magazine, starting with issue #1 in 1975",https://archive.org/details/byte-magazine-1975-09,241,DamnInteresting,4 hours ago,57 comments
SPEAKE(a)R: Turn Speakers to Microphones for Fun and Profit [pdf] (2017),https://www.usenix.org/system/files/conference/woot17/woot17-paper-guri.pdf,97,Eridanus2,5 hours ago,45 comments
Game devs explain the tricks involved with letting you pause a game,https://kotaku.com/video-game-devs-explain-how-pausing-works-and-sometimes-it-gets-weird-2000686339,235,speckx,10 hours ago,136 comments
The seven programming ur-languages (2022),https://madhadron.com/programming/seven_ur_languages.html,99,helloplanets,6 hours ago,40 comments
Nanopass Framework: Clean Compiler Creation Language,https://nanopass.org/,19,NordStreamYacht,2 hours ago,1 comment
"Show HN: Shader Lab, like Photoshop but for shaders",https://eng.basement.studio/tools/shader-lab,39,ragojose,3 hours ago,6 comments
Airline worker arrested after sharing photos of bomb damage in WhatsApp group,https://www.lbc.co.uk/article/dubai-police-spied-private-whatsapp-5HjdXwr_2/,66,aa_is_op,1 hour ago,39 comments
What are skiplists good for?,https://antithesis.com/blog/2026/skiptrees/,166,mfiguiere,11 hours ago,35 comments
NIST scientists create 'any wavelength' lasers,https://www.nist.gov/news-events/news/2026/04/any-color-you-nist-scientists-create-any-wavelength-lasers-tiny-circuits,355,rbanffy,17 hours ago,155 comments
College instructor turns to typewriters to curb AI-written work,https://sentinelcolorado.com/uncategorized/a-college-instructor-turns-to-typewriters-to-curb-ai-written-work-and-teach-life-lessons/,345,gnabgib,19 hours ago,340 comments
Anonymous request-token comparisons from Opus 4.6 and Opus 4.7,https://tokens.billchambers.me/leaderboard,562,anabranch,22 hours ago,541 comments
Vercel April 2026 security incident,https://vercel.com/kb/bulletin/vercel-april-2026-security-incident,14,colesantiago,20 minutes ago,discuss
Ask HN: How did you land your first projects as a solo engineer/consultant?,item?id=47822940,106,modelcroissant,5 hours ago,49 comments
The electromechanical angle computer inside the B-52 bomber's star tracker,https://www.righto.com/2026/04/B-52-star-tracker-angle-computer.html,372,NelsonMinar,22 hours ago,97 comments
Why Japan has such good railways,https://worksinprogress.co/issue/why-japan-has-such-good-railways/,459,RickJWagner,1 day ago,434 comments
Show HN: Prompt-to-Excalidraw demo with Gemma 4 E2B in the browser (3.1GB),https://teamchong.github.io/turboquant-wasm/draw.html,13,teamchong,3 hours ago,8 comments
Changes in the system prompt between Claude Opus 4.6 and 4.7,https://simonwillison.net/2026/Apr/18/opus-system-prompt/,65,pretext,3 hours ago,39 comments
Updating Gun Rocket through 10 years of Unity Engine,https://jackpritz.com/blog/updating-gun-rocket-through-10-years-of-unity-engine,96,tyleo,14 hours ago,43 comments
Binary Dependencies: Identifying the Hidden Packages We All Depend On,https://vlad.website/binary-dependencies-identifying-the-hidden-packages-we-all-depend-on/,44,PaulHoule,9 hours ago,5 comments
It's cool to care (2025),https://alexwlchan.net/2025/cool-to-care/,44,surprisetalk,7 hours ago,24 comments
The world in which IPv6 was a good design (2017),https://apenwarr.ca/log/20170810,118,signa11,11 hours ago,39 comments
Binary GCD,https://en.algorithmica.org/hpc/algorithms/gcd/#binary-gcd,21,tosh,6 hours ago,discuss
State of Kdenlive,https://kdenlive.org/news/2026/state-2026/,427,f_r_d,1 day ago,130 comments
Modern Common Lisp with FSet,https://fset.common-lisp.dev/Modern-CL/Top_html/index.html,172,larve,18 hours ago,21 comments
Migrating from DigitalOcean to Hetzner,https://isayeter.com/posts/digitalocean-to-hetzner-migration/,827,yusufusta,1 day ago,411 comments
Optimizing Ruby Path Methods,https://byroot.github.io/ruby/performance/2026/04/18/faster-paths.html,115,weaksauce,17 hours ago,42 comments
Keep Pushing: We Get 10 More Days to Reform Section 702,https://www.eff.org/deeplinks/2026/04/keep-pushing-we-get-10-more-days-reform-section-702,119,nobody9999,7 hours ago,23 comments
Zero-Copy GPU Inference from WebAssembly on Apple Silicon,https://abacusnoir.com/2026/04/18/zero-copy-gpu-inference-from-webassembly-on-apple-silicon/,101,agambrahma,15 hours ago,38 comments
Metatextual Literacy,https://www.jenn.site/metatextual-literacy/,46,dado3212,12 hours ago,8 comments
Spiral staircase with a single guardrail once led to the top of the Eiffel Tower,https://www.smithsonianmag.com/smart-news/a-dizzying-spiral-staircase-with-a-single-guardrail-once-led-to-the-top-of-the-eiffel-tower-now-you-can-buy-14-of-the-original-steps-180988535/,37,bookofjoe,12 hours ago,20 comments
