name,price,stock,color,size,material,link
Glide Legging in Burgundy Wine (LAST PIECE),IDR 479.000,10 IN STOCK,Burgundy Wine,"Burgundy Wine,XS,S,M,L",no_material,https://loveandflair.com//products/glide-legging-in-burgundy
Seamless Nursing Bra in Graphite (XXL LEFT),IDR 164.500,7 IN STOCK,Graphite,"M,L,XL,XXL,Graphite",no_material,https://loveandflair.com//products/seamless-nursing-bra-in-graphite
Energy Biker Shorts In Navy (XS LEFT),IDR 239.400,5 IN STOCK,Navy,"XS,S,M,L,Navy",no_material,https://loveandflair.com//products/energy-biker-shorts-in-navy
Conquer Headband in Classic Blue,IDR 189.000,3 IN STOCK,Classic Blue,Classic Blue,no_material,https://loveandflair.com//products/conquer-headband-in-classic-blue
Raglan Jacket in Marine,IDR 649.000,25 IN STOCK,Blue,"Blue,XS,S,M,L",no_material,https://loveandflair.com//products/raglan-jacket-in-marine
Rebound Dress in White,IDR 399.000,1 IN STOCK,White,"XS,S,M,L,White",no_material,https://loveandflair.com//products/rebound-dress-in-white
Apex Polo Bra Top in Black (LAST PIECES),IDR 499.000,11 IN STOCK,Black,"Black,XS,S,M,L",no_material,https://loveandflair.com//products/apex-polo-bra-top-in-black
All-Season Top in Steel Blue,IDR 199.000,1 IN STOCK,no_colr,"Steel Blue,S,M,L,XL",no_material,https://loveandflair.com//products/all-season-top-in-steel-blue-1
7/8 Revive Leggings in Black,IDR 298.350,6 IN STOCK,Black,"XS,S,M,L,Black",no_material,https://loveandflair.com//products/7-8-revive-leggings-in-black
Cherry Good Grip Socks in White,IDR 229.000,129 IN STOCK,White,White,no_material,https://loveandflair.com//products/cherry-good-grip-socks-in-white
Flash Running Shorts in Bubblegum,IDR 179.550,6 IN STOCK,Pink,"Pink,XS,S,M,L",no_material,https://loveandflair.com//products/flash-running-shorts-in-bubblegum
Awaken Leggings in Espresso,IDR 479.000,5 IN STOCK,Espresso,"XS,S,M,L,Espresso",no_material,https://loveandflair.com//products/awaken-leggings-in-espresso
Eden Longsleeve Wrap Top in Sand,IDR 449.000,2 IN STOCK,Brown,"Brown,XS,S,M,L",no_material,https://loveandflair.com//products/eden-longsleeve-wrap-top-in-sand
Paddock Bra Top in Black,IDR 519.000,22 IN STOCK,Black,"Black,XS,S,M,L",no_material,https://loveandflair.com//products/paddock-bra-top-in-black
Restore Bra Top in Lilac,IDR 459.000,6 IN STOCK,Lilac,"Lilac,XS,S,M",no_material,https://loveandflair.com//products/restore-bra-top-in-lilac
