Product_Name,Discounted_Price,Regular_price,Discount,link
Dusty Olive Dual Pocket Corduroy Shirt,₹ 899,₹ 2499,64% off,https://www.beyoung.in//dusty-olive-dual-pocket-corduroy-shirt
Stone Grey Dual Pocket Corduroy Shirt,₹ 899,₹ 2499,64% off,https://www.beyoung.in//stone-grey-dual-pocket-corduroy-shirt
Lavender Star Patch Oversized T-Shirt,₹ 899,₹ 1499,40% off,https://www.beyoung.in//lavender-star-patch-oversized-t-shirt
Black HD Print Patch Oversized T-Shirt,₹ 749,₹ 1499,50% off,https://www.beyoung.in//black-hd-print-patch-oversized-t-shirt
Sky Blue Regular Fit Jeans,₹ 1099,₹ 2499,56% off,https://www.beyoung.in//sky-blue-regular-fit-jeans
Indigo Blue Regular Fit Jeans,₹ 998,₹ 2499,60% off,https://www.beyoung.in//indigo-blue-regular-fit-jeans-2
Blue Stripe Crochet Half-Sleeves Shirt,₹ 1099,₹ 1999,45% off,https://www.beyoung.in//blue-stripe-crochet-half-sleeves-shirt
Black Fur Abstract Textured Shirt,₹ 1199,₹ 1999,40% off,https://www.beyoung.in//black-fur-abstract-textured-shirt
Black Geometric Jacquard Textured Zipper Polo T-Shirt,₹ 899,₹ 1399,36% off,https://www.beyoung.in//black-geometric-jacquard-textured-zipper-polo-t-shirt
Beige Abstract Jacquard Textured Zipper Polo T-Shirt,₹ 899,₹ 1399,36% off,https://www.beyoung.in//beige-abstract-jacquard-textured-zipper-polo-t-shirt
Sage Green Raw Edge 3D Pocket Cargo Pants,₹ 1499,₹ 2998,50% off,https://www.beyoung.in//sage-green-raw-edge-3d-pocket-cargo-pants
Navy Solid Korean Pants,₹ 998,₹ 1999,50% off,https://www.beyoung.in//navy-relaxed-fit-stretch-korean-pants
Dusty Olive Dual Pocket Corduroy Shirt,₹ 899,₹ 2499,64% off,https://www.beyoung.in//dusty-olive-dual-pocket-corduroy-shirt
Stone Grey Dual Pocket Corduroy Shirt,₹ 899,₹ 2499,64% off,https://www.beyoung.in//stone-grey-dual-pocket-corduroy-shirt
Lavender Star Patch Oversized T-Shirt,₹ 899,₹ 1499,40% off,https://www.beyoung.in//lavender-star-patch-oversized-t-shirt
Black HD Print Patch Oversized T-Shirt,₹ 749,₹ 1499,50% off,https://www.beyoung.in//black-hd-print-patch-oversized-t-shirt
Sky Blue Regular Fit Jeans,₹ 1099,₹ 2499,56% off,https://www.beyoung.in//sky-blue-regular-fit-jeans
Indigo Blue Regular Fit Jeans,₹ 998,₹ 2499,60% off,https://www.beyoung.in//indigo-blue-regular-fit-jeans-2
Blue Stripe Crochet Half-Sleeves Shirt,₹ 1099,₹ 1999,45% off,https://www.beyoung.in//blue-stripe-crochet-half-sleeves-shirt
Black Fur Abstract Textured Shirt,₹ 1199,₹ 1999,40% off,https://www.beyoung.in//black-fur-abstract-textured-shirt
Black Geometric Jacquard Textured Zipper Polo T-Shirt,₹ 899,₹ 1399,36% off,https://www.beyoung.in//black-geometric-jacquard-textured-zipper-polo-t-shirt
Beige Abstract Jacquard Textured Zipper Polo T-Shirt,₹ 899,₹ 1399,36% off,https://www.beyoung.in//beige-abstract-jacquard-textured-zipper-polo-t-shirt
